isin,name,sector,geography,total_exposure,portfolio_percentage
US67066G1040,NVIDIA,Equity,Unknown,1648.4,3.9459592218962927
US02079K3059,Alphabet (A),Equity,Unknown,1168.85,2.798006816618224
US1667641005,Chevron,Equity,Unknown,557.96,1.3356511814178935
US5949181045,Microsoft,Equity,Unknown,550.87,1.3186790563977253
US00287Y1091,AbbVie,Equity,Unknown,434.44,1.0399675590637136
US0231351067,Amazon.com,Equity,Unknown,404.32000000000005,0.9678659503743685
US0079031078,AMD,Equity,Unknown,301.34,0.7213512205327764
US88160R1014,Tesla,Equity,Unknown,269.64,0.6454673893424632
DE000A161408,HelloFresh,Equity,Unknown,193.21,0.46250836038739546
DE0007500001,ThyssenKrupp,Equity,Unknown,184.12,0.44074861194828036
US30303M1027,Meta Platforms (A),Equity,Unknown,177.69999999999996,0.42538034077345976
KYG9830T1067,Xiaomi,Equity,Unknown,109.05,0.26104516691809676
DE000TKMS001,TKMS AG & Co. KGaA Inhaber-Aktien o.N.,Equity,Unknown,92.7,0.2219063454682033
US69608A1088,Palantir Technologies,Equity,Unknown,84.8,0.2029952329633618
DE0008404005,Allianz,Equity,Unknown,56.99999999999999,0.13644726743999555
AU0000066086,Vulcan Energy Resources,Equity,Unknown,43.040000000000006,0.10302965597574403
DE0005493092,Borussia Dortmund,Equity,Unknown,30.7,0.0734900194808397
CA22587M1068,Cresco Labs,Equity,Unknown,26.760000000000005,0.06405840134551372
XF000BTC0017,Bitcoin,Unknown,Unknown,25.38,0.06075494118644012
CA87320M2004,TAAT Global Alternatives,Unknown,Unknown,0.2,0.0004787623418947213
LU0908500753,Core Stoxx Europe 600 EUR (Acc),ETF,Global,0.0,0.0
IE00BYVQ9F29,NASDAQ100 EUR (Acc),ETF,Global,0.0,0.0
IE00B5BMR087,Core S&P 500 USD (Acc),ETF,Global,0.0,0.0
IE00B53SZB19,NASDAQ100 USD (Acc),ETF,Global,0.0,0.0
IE00B4L5Y983,Core MSCI World USD (Acc),ETF,Global,0.0,0.0
IE00B3WJKG14,S&P 500 Information Tech USD (Acc),ETF,Global,0.0,0.0
IE0031442068,Core S&P 500 USD (Dist),ETF,Global,0.0,0.0
FR0010361683,MSCI India Swap EUR (Acc),ETF,Global,0.0,0.0
DE000A0F5UF5,NASDAQ100 USD (Dist),ETF,Global,0.0,0.0
IE00BL25JP72,MSCI World Momentum USD (Acc),ETF,Global,0.0,0.0
